36
ca3cell ca3cell 0.000000 0.000000 0.000000
ca3cell deepcell 0.000150 5000000.000000 1.000000
ca3cell drivercell 0.000000 0.000000 0.000000
ca3cell pvbasketcell 0.000010 27000.000000 1.000000
ca3cell stimcell 0.000000 0.000000 0.000000
ca3cell supercell 0.000107 5750000.000000 1.000000
deepcell ca3cell 0.000000 0.000000 0.000000
deepcell deepcell 0.000000 0.000000 0.000000
deepcell drivercell 0.000000 0.000000 0.000000
deepcell pvbasketcell 0.000145 7425.000000 3.000000
deepcell stimcell 0.000000 0.000000 0.000000
deepcell supercell 0.000000 0.000000 0.000000
drivercell ca3cell 0.000000 0.000000 0.000000
drivercell deepcell 0.000000 0.000000 0.000000
drivercell drivercell 0.000000 0.000000 0.000000
drivercell pvbasketcell 0.000000 0.000000 0.000000
drivercell stimcell 0.000000 0.000000 0.000000
drivercell supercell 0.000000 0.000000 0.000000
pvbasketcell ca3cell 0.000000 0.000000 0.000000
pvbasketcell deepcell 0.000168 17000.000000 9.000000
pvbasketcell drivercell 0.000000 0.000000 0.000000
pvbasketcell pvbasketcell 0.000000 0.000000 0.000000
pvbasketcell stimcell 0.000000 0.000000 0.000000
pvbasketcell supercell 0.000123 17000.000000 4.000000
stimcell ca3cell 0.000000 0.000000 0.000000
stimcell deepcell 0.000000 0.000000 0.000000
stimcell drivercell 0.000000 0.000000 0.000000
stimcell pvbasketcell 0.000000 0.000000 0.000000
stimcell stimcell 0.000000 0.000000 0.000000
stimcell supercell 0.000000 0.000000 0.000000
supercell ca3cell 0.000000 0.000000 0.000000
supercell deepcell 0.000000 0.000000 0.000000
supercell drivercell 0.000000 0.000000 0.000000
supercell pvbasketcell 0.000195 22275.000000 3.000000
supercell stimcell 0.000000 0.000000 0.000000
supercell supercell 0.000000 0.000000 0.000000
